#Base,Mean,Median,Lower Quartile,Upper Quartile,10th Percentile,90th Percentile,ID
60-64,36.60659475506487,38.0,37.0,38.0,34.0,38.0,SRR25023303_1_val_1_fastqc_1
65-69,36.58210695087514,38.0,37.0,38.0,34.0,38.0,SRR25023303_1_val_1_fastqc_1
70-74,36.52327139846457,38.0,37.0,38.0,34.0,38.0,SRR25023303_1_val_1_fastqc_1
75-79,36.43518401382043,38.0,37.0,38.0,33.8,38.0,SRR25023303_1_val_1_fastqc_1
80-84,36.38791809293976,38.0,37.0,38.0,34.0,38.0,SRR25023303_1_val_1_fastqc_1
85-89,36.38784405534607,38.0,37.0,38.0,34.0,38.0,SRR25023303_1_val_1_fastqc_1
90-94,36.35788717437693,38.0,37.0,38.0,33.8,38.0,SRR25023303_1_val_1_fastqc_1
95-99,36.167952319042186,38.0,37.0,38.0,33.0,38.0,SRR25023303_1_val_1_fastqc_1
100-104,36.197560465523125,38.0,37.0,38.0,32.8,38.0,SRR25023303_1_val_1_fastqc_1
105-109,36.090231043369336,38.0,37.0,38.0,32.2,38.0,SRR25023303_1_val_1_fastqc_1
110-114,36.10610383523442,38.0,37.0,38.0,32.2,38.0,SRR25023303_1_val_1_fastqc_1
115-119,35.979736424638965,38.0,37.0,38.0,32.0,38.0,SRR25023303_1_val_1_fastqc_1
120-124,36.03541218910188,38.0,37.0,38.0,32.0,38.0,SRR25023303_1_val_1_fastqc_1
125-129,35.79889576945778,38.0,37.0,38.0,31.2,38.0,SRR25023303_1_val_1_fastqc_1
130-134,35.704241897019635,38.0,36.2,38.0,30.8,38.0,SRR25023303_1_val_1_fastqc_1
135-139,35.94925680329992,38.0,36.6,38.0,31.6,38.0,SRR25023303_1_val_1_fastqc_1
140-144,36.02136839826817,38.0,37.0,38.0,32.0,38.0,SRR25023303_1_val_1_fastqc_1
145-149,35.98161955284328,38.0,36.8,38.0,32.2,38.0,SRR25023303_1_val_1_fastqc_1
