#Base,Mean,Median,Lower Quartile,Upper Quartile,10th Percentile,90th Percentile,ID
195-199,33.97062712935406,37.0,34.0,37.8,24.6,"38.0
",SRR25023040_2_val_2_fastqc_2
200-204,32.97367921180502,36.4,33.0,37.8,23.4,"38.0
",SRR25023040_2_val_2_fastqc_2
205-209,32.09932576241694,35.8,31.4,37.8,18.8,"38.0
",SRR25023040_2_val_2_fastqc_2
210-214,25.02449247061657,34.75,15.5,37.5,6.25,"37.75
",SRR25023040_2_val_2_fastqc_2
215-219,9.215189520624303,,,,,"NaN
",SRR25023040_2_val_2_fastqc_2
220-224,10.38863478863479,,,,,"NaN
",SRR25023040_2_val_2_fastqc_2
225-229,10.745054945054946,,,,,"NaN
",SRR25023040_2_val_2_fastqc_2
230-234,7.7474358974358974,,,,,"NaN
",SRR25023040_2_val_2_fastqc_2
235-239,2.0,,,,,"NaN
",SRR25023040_2_val_2_fastqc_2
240-244,15.97391304347826,,,,,"NaN
",SRR25023040_2_val_2_fastqc_2
1,32.90505174904673,34.0,34.0,34.0,31.0,"34.0
",SRR25023041_1_val_1_fastqc_1
2,32.50508806416724,34.0,34.0,34.0,31.0,"34.0
",SRR25023041_1_val_1_fastqc_1
3,33.21756704481759,34.0,34.0,34.0,32.0,"34.0
",SRR25023041_1_val_1_fastqc_1
4,33.022152223511675,34.0,34.0,34.0,32.0,"34.0
",SRR25023041_1_val_1_fastqc_1
5,33.28117376785165,34.0,34.0,34.0,33.0,"34.0
",SRR25023041_1_val_1_fastqc_1
6,36.866455091616736,38.0,37.0,38.0,35.0,"38.0
",SRR25023041_1_val_1_fastqc_1
7,37.11699784477654,38.0,37.0,38.0,36.0,"38.0
",SRR25023041_1_val_1_fastqc_1
8,37.027078448554896,38.0,37.0,38.0,35.0,"38.0
",SRR25023041_1_val_1_fastqc_1
9,36.74379682479533,38.0,37.0,38.0,34.0,"38.0
",SRR25023041_1_val_1_fastqc_1
10-14,36.95856444749702,38.0,37.0,38.0,35.4,"38.0
",SRR25023041_1_val_1_fastqc_1
15-19,36.867059817319145,38.0,37.0,38.0,34.6,"38.0
",SRR25023041_1_val_1_fastqc_1
20-24,36.75565529614333,38.0,37.0,38.0,34.2,"38.0
",SRR25023041_1_val_1_fastqc_1
25-29,36.54831665653602,38.0,37.0,38.0,34.0,"38.0
",SRR25023041_1_val_1_fastqc_1
30-34,36.603310390922,38.0,37.0,38.0,34.0,"38.0
",SRR25023041_1_val_1_fastqc_1
35-39,36.01971212772362,38.0,36.8,38.0,32.6,"38.0
",SRR25023041_1_val_1_fastqc_1
40-44,36.22432643680004,38.0,37.0,38.0,33.6,"38.0
",SRR25023041_1_val_1_fastqc_1
45-49,36.29220264566745,38.0,37.0,38.0,34.0,"38.0
",SRR25023041_1_val_1_fastqc_1
50-54,36.28323329200088,38.0,37.0,38.0,34.0,"38.0
",SRR25023041_1_val_1_fastqc_1
55-59,36.29090679109849,38.0,37.0,38.0,34.0,"38.0
",SRR25023041_1_val_1_fastqc_1
60-64,36.20260749192592,38.0,37.0,38.0,33.6,"38.0
",SRR25023041_1_val_1_fastqc_1
65-69,36.21342001508325,38.0,37.0,38.0,34.0,"38.0
",SRR25023041_1_val_1_fastqc_1
70-74,36.08898689301135,38.0,37.0,38.0,33.4,"38.0
",SRR25023041_1_val_1_fastqc_1
75-79,36.12819174431698,38.0,37.0,38.0,33.6,"38.0
",SRR25023041_1_val_1_fastqc_1
80-84,36.037818874183856,38.0,37.0,38.0,32.4,"38.0
",SRR25023041_1_val_1_fastqc_1
85-89,36.13757365096133,38.0,37.0,38.0,32.8,"38.0
",SRR25023041_1_val_1_fastqc_1
90-94,36.04381502239975,38.0,37.0,38.0,32.0,"38.0
",SRR25023041_1_val_1_fastqc_1
